,IUCA,Texto,Etiqueta
813,99,¿Está permitido para el caso de un ciudadano en relación de dependencia adherirse al monotributo por una actividad independiente?,si_no
814,99,"¿Se puede adherirse al monotributo por una actividad independiente, a un trabajador en relación de dependencia?",si_no
815,100,¿Puedo ser Responsable Inscripto y Monotributista?,si_no
816,100,¿Es excluyente ser Responsable Inscripto y Monotributista?,si_no
817,100,Soy Responsable Inscripto ¿Me puedo dar de alta en el Monotributo?,si_no
818,100,"En el caso de una persona adherida al Monotributo por una actividad, ¿Puede realizar otra actividad bajo la condición de responsable inscripto?",si_no
819,100,¿Está permitido para una persona adherida al Monotributo por una actividad llevar a cabo otra actividad bajo la condición de responsable inscripto?,si_no
820,100,¿Puede una persona adherida al Monotributo por una actividad llevar a cabo otra actividad bajo la condición de responsable inscripto?,si_no
821,100,"Si se tiene el caso de una persona adherida al Monotributo por una actividad, ¿Está permitido que realice otra actividad bajo la condición de responsable inscripto?",si_no
822,100,¿Es posible para una persona adherida al Monotributo por una actividad que realice otra actividad bajo la condición de responsable inscripto?,si_no
823,101,Vendo autos usados ¿Puedo ser Monotributista?,si_no
824,101,¿Está excluido del Monotributo la venta de autos a nombre propio por cuenta de terceros?,si_no
825,101,"Para el caso de venta de autos usados a nombre propio por cuenta de terceros, ¿Se podrá optar por el Monotributo?",si_no
826,101,¿Se puede elegir por el monotributo en la caso de venta de autos usados a nombre propio por cuenta de terceros?,si_no
827,101,"Si se realiza una venta de autos usados a nombre propio por cuenta de terceros, ¿Se puede decidir por el Monotributo?",si_no
828,101,¿Se puede optar por el monotributo en el caso de venta de automóviles  usados a nombre propio por cuenta de terceros?,si_no
829,101,"Si se tiene una venta de automóviles  usados a nombre propio por cuenta de terceros, ¿ Es el Monotributo una opción válida?",si_no
830,102,"Abrí una industria, ¿puedo ser monotributista?",si_no
831,102,¿Me puedo aherir al monotributo si tengo una industria?,si_no
832,102,"Soy propietario de una industria, ¿ puedo ser monotributista?",si_no
833,102,"Tengo una industria, ¿me puedo adherir al monotributo?",si_no
834,102,¿Está permitido ser Monotributista si soy dueño de una industria?,si_no
836,102,Soy dueño de una industria ¿Existen restricciones para ser Monotributista?,si_no
837,103,"Estoy en una cooperativa, ¿me puedo adherir al monotributo?",si_no
838,103,¿Puedo ser monotributista si soy socio de cooperativa?,si_no
839,103,"Estoy asociado a una cooperativa, ¿puedo inscribirme en el monotributo?",si_no
840,103,¿Está permitido ser Monotributista si soy asociado de una Cooperativa de Trabajo?,si_no
841,103,¿Los miembros de una Cooperativa de Trabajo pueden inscribirse en el Monotributo?,si_no
842,104,¿Puedo inscribirme en el monotributo siendo síndico de una sociedad?,si_no
843,104,"Soy síndico de una sociedad, ¿puedo adherirme al monotributo?",si_no
844,104,¿Está permitido ser Monotributista si soy síndico de una sociedad?,si_no
845,104,¿Los síndicos de sociedades pueden inscribirse en el Monotributo?,si_no
846,104,¿Existe alguna limitación para ser Monotributista si soy síndico de una sociedad?,si_no
847,105,"Mi ingresos son derechos de autor, ¿puedo ser monotributista?",si_no
848,105,¿Me puedo adherir al monotributo si sólo recibo ingresos por derechos de autor?,si_no
849,105,"Quisiera ser monotributista pero sólo percibo derechos de autor, ¿puedo?",si_no
850,105,Mis ingresos son solamente por cobro de derecho de autor ¿Debo inscribirme en el Monotributo?,si_no
851,105,¿Está excluido del Monotributo la actividad de cobro por derecho de autor?,si_no
853,106,¿Más de 3 unidades de explotación quedan excluídas del monotributo?,si_no
854,106,"Si las parcelas tienen número diferentes pero están en el mismo partido, ¿quedan excluídas del monotributo?",si_no
855,106,En el caso de las parcelas ¿Cada una de ellas equivale a una unidad de explotación?,si_no
856,106,¿Las parcelas deben estar todas juntas para considerarse una sola unidad de explotación?,si_no
860,107,"En caso de corresponder, si soy monotributista, ¿Debo presentar la declaración jurada de Impuesto a los Bienes Personales?",si_no
861,107,¿Un Monotributista tiene que pagar Impuesto a los Bienes Personales?,si_no
863,108,¿Quedo excluído del monotributo si poseo más de tres actividades?,si_no
864,108,"Si tengo tres actividades, ¿quedo fuera del monotributo?",si_no
866,108,¿Cada sucursal es una fuente de ingreso?,si_no
867,109,¿Debo presentar la declaración jurada del impuesto a ganancias?,si_no
869,109,Si soy monotributista ¿Tengo que presentar la declaración jurada del impuesto a las ganancias?,si_no
871,109,¿Un monotributista debe pagar Impuesto a las Ganancias?,si_no
873,110,Si estoy inscripto en IVA ¿Puedo adherirme al monotributo?,si_no
875,110,¿Puedo optar por cambiar de responsable inscripto a monotributo?,si_no
876,110,¿Puedo cambiar de régimen IVA a Monotributo en cualquier momento?,si_no
877,110,Si soy Responsable Inscripto y me quiero pasar a Monotributo ¿Debo hacerlo en una fecha determinada?,si_no
879,111,"Soy monotributista y en la anualización he superado el máximo, ¿debo pasar a ser responsable inscripto?",si_no
880,111,Si soy monotributista y al anualizar mis ingresos supero el máximo de la última categoría ¿Debo pasar a ser responsable inscripto en IVA?,si_no
884,112,Como monotributista ¿Puedo realizar otra actividad bajo la condición de IVA exento?,si_no
885,112,"Siendo monotributista, ¿es posible tener una actividad bajo la condición IVA exento?",si_no
886,112,¿Puedo tener una actividad con iva exento si soy monotributista?,si_no
887,112,¿Puedo ser IVA exento por una actividad y Monotributista por otra?,si_no
889,113,"Siendo propietario y cediendo un inmueble, ¿puedo ser monotributista por el valor de alquiler a que se refiere el impuesto a las ganancias?",si_no
890,113,¿Es posible inscriibirme en el monotributo por el valor locativo  si he cedido mi inmueble?,si_no
891,113,"Ya he cedido el inmueble pero a un precio no especificado, ¿puedo ser monotributista por el precio locativo?",si_no
892,113,Si cedo un inmueble a un precio no determinado ¿Puedo adherir al monotributo por el valor locativo al que refiere el Impuesto a las Ganancias?,si_no
893,113,Ceder un inmueble a precio indeterminado ¿Se considera actividad para tener que inscribirme en el Monotributo?,si_no
900,115,¿Es posible la adhesión de los condominios al monotributo?,si_no
902,115,¿Los condominios pueden ser Monotributistas?,si_no
903,115,¿Hay restricciones en el Monotributo para los condominios?,si_no
905,116,¿Puedo pagar en efectivo? ,si_no
906,116,¿Estoy exceptuado de cumplir con las obligaciones de modo electrónico?,si_no
907,116,¿Debo hacer los pagos de forma electrónica?,si_no
909,116,¿Todos los Monotributistas pueden pagar en efectivo?,si_no
914,117,¿Puedo pagar en efectivo? ,si_no
916,117,¿Tengo que presentar alguna documentación para pagar en efectivo el Monotributo?,si_no
921,118,¿El mismo mes en que me doy de alta en el Monotributo debo pagarlo?,si_no
925,119,¿Se puede pagar vencido el monotributo?,si_no
927,120,¿Debo pagar intereses por abonar el Monotributo fuera de término?,si_no
935,121,¿Siempre vence el mismo día el Monotributo?,si_no
936,121,¿Vence el mismo día para todos los monotributistas?,si_no
945,123,¿Puedo adherirme al débito automático?,si_no
951,124,¿Puedo adherir mi tarjeta de crédito al débito automático desde el portal de AFIP?,si_no
952,125,"¿Si pago fuera de término, debo abonar intereses?",si_no
953,125,¿Me cobran intereses si pago fuera de término?,si_no
954,125,"¿Si me atraso en el pago, me cobrarán intereses?",si_no
955,125,¿El pago fuera de término genera intereses?,si_no
956,125,"Si no pagué el monotributo, ¿debo pagar intereses?",si_no
961,126,"¿Mi banco opera con Pago mis cuentas, link o interbanking?",si_no
966,127,¿Las cargas sociales de mis empleados se pagan a través de la web de AFIP?,si_no
972,128,¿Me van a devolver el componente impositivo?,si_no
976,129,¿Se puede elegir qué componentes pagar el monotributo?,si_no
977,129,¿Se puede abonar un componente excluyendo los demás?,si_no
978,129,¿Se puede abonar la  jubilación y excluir el pago de la obra social?,si_no
979,129,¿Se puede abonar la obra social y excluir el pago de la jubilación?,si_no
980,129,"¿Debo pagar jubilación y obra social, o puedo pagar sólo uno?",si_no
981,129,¿Se tienen que pagar los dos componentes previsionales?,si_no
982,129,¿Es posible pagar sólo jubilación y no obra social?,si_no
983,129,¿Puedo pagar sólo obra social y no pagar la jubilación?,si_no
984,129,¿Es obligatorio el pago de ambos componente previsionales?,si_no
995,131,¿Pago el impuesto integrado siendo socio de una cooperativa de trabajo?,si_no
1002,132,¿Hay algún límite para las cooperativas de trabajo inscriptas en el Registro Nacional de Efectores de Desarrollo Local y Economía Social?,si_no
1004,132,¿Hay algún tratamiento particular si la cooperativa fue inscrita en el registro?,si_no
1006,132,"Ya se inscribió la cooperativa en el registro, ¿existe algún tratamiento particular?",si_no
1007,132,"Una vez que se anota  la cooperativa en el registro nacional de efectores, ¿tendrá algún tratamiento especial?",si_no
1017,134,¿Puedo imprimir la credencial de pago desde la web de AFIP?,si_no
1032,136,¿Puedo reafectar pagos de más hechos anteriormente?,si_no
1037,136,"El pago imputado por error, ¿Se puede reafectar?",si_no
1040,137,¿Aparece toda la información en el servicio CCMA?,si_no
1048,138,"Si tengo deudas, ¿Las puedo ver reflejadas en la página de AFIP?",si_no
1064,140,Si pagué de más el Monotributo ¿Puedo hacer el reclamo?,si_no
1070,141,¿Puedo ver los beneficios previsionales en el servicio CCMA?,si_no
1073,141,"Los beneficios previsionales de la Ley 25.321, ¿se pueden ver en el CCMA?",si_no
1074,141,"He aplicado a los beneficios previsionales de la Ley 25.321, ¿figuran en el servicio CCMA?",si_no
1078,142,¿Es obligatorio un tipo de factura específico?,si_no
1084,143,¿Puedo hacer facturas manuales?,si_no
1085,143,¿Todos los Monotributistas están obligados a hacer factura electrónica?,si_no
1086,143,¿La factura manual es optativa?,si_no
1088,143,¿Puedo hacer facturas electrónicas?,si_no
1089,143,¿Estoy obligado a emitir comprobante manual?,si_no
1090,143,¿Es opcional emitir comprobante manual?,si_no
1091,143,"La emisión del comprobante manual, ¿es opcional?",si_no
1095,144,¿Debo exhibir alguna documentación en mi local? ,si_no
1096,144,Si soy Monotributista ¿Debo mostrarlo en mi negocio?,si_no
1105,145,¿Es lo mismo emitir cualquier tipo de comprobante?,si_no
1109,145,¿Debo otorgar algún comprobante particular?,si_no
1110,145,¿Tengo que dar algún comprobante específico?,si_no
1114,146,¿Existe algún respaldo para cuando el controlador fiscal falla?,si_no
1120,147,¿Las facturas de exportación son diferentes?,si_no
1135,149,¿Mis operaciones deben estar registradas de alguna manera?,si_no
1136,149,¿Debo llevar un registro de mis operaciones?,si_no
1137,149,¿Es optativo llevar un control de las opraciones que realizo?,si_no
1138,149,¿Debo registrar todas mis operaciones?,si_no
1139,149,¿Es necesario que lleve un registro de todas las operaciones que hago?,si_no
1140,149,¿Tengo que llevar cuenta de todos las facturas que emito o recibo?,si_no
1143,150,¿Tengo que guardar los comprobantes que emito?,si_no
1145,150,¿Es obligatorio conservar mis comprobantes?,si_no
1151,151,¿Los remitos tienen alguna letra particular?,si_no
1153,151,¿Los remitos son iguales a los otros tipos de comprobantes?,si_no
1157,151,"Los remitos, ¿llevan una letra específica?",si_no
1159,152,¿Hay monotribustistas que no están obligados a emitir facturas electrónicas?,si_no
1162,152,¿Todos los monotributistas deben hacer comprobantes?,si_no
1163,152,¿Estoy exceptuado de emitir factura electrónica?,si_no
1165,152,¿No tengo obligación de hacer la factura electrónica?,si_no
1167,152,¿Estoy obligado a proveer facturas electrónicamente?,si_no
1168,153,¿Debo emitir todos mis comprobantes en forma electrónica?,si_no
1170,153,¿Todos los tipos de comprobantes deben emitirse electrónicamente?,si_no
1177,154,¿Hay algún tipo de factura que puede no hacerse electrónicamente?,si_no
1178,154,"¿Todos los comprobantes ""C"" deben hacerse electrónicamente?",si_no
1182,154,¿Es obligatorio que emita el comprobante electrónico con esa operación?,si_no
1184,155,¿Son diferentes las facturas hechas por los adheridos al régimen de inclusión social y promoción del trabajo independiente?,si_no
1191,156,¿Son diferentes las facturas hechas por efectores sociales?,si_no
1192,156,El monotributista social ¿Realiza una factura diferente?,si_no
1200,157,¿Debo pagar una multa si no muestro la documentación en mi local?,si_no
1201,157,¿Hay alguna sanción por no exhibir el comprobante en el local?,si_no
1202,157,¿Me pueden sancionar por no mostrar el comprobante?,si_no
1203,157,¿Me pueden sancionar si no tengo a la vista el comprobante de monotributista?,si_no
1204,157,¿Sancionan por no exhibir el comprobante?,si_no
1205,157,¿Podría ser motivo de multa si no tengo a la vista el comprobante?,si_no
1209,158,¿Debo pagar una multa si no tengo la documentación respaldatoria?,si_no
1210,158,¿Hay alguna sanción por no tener las facturas de respaldo?,si_no
1211,158,¿Me pueden sancionar por no guardar las facturas de respaldo de mis operaciones?,si_no
1213,158,¿Sancionan por no guardar los comprobantes de las operaciones que realicé?,si_no
1214,158,¿Podría ser motivo de multa el no tener los comprobantes de las operaciones?,si_no
1217,159,¿Debo pagar una multa si no emití la documentación respaldatoria de mis operaciones?,si_no
1218,159,¿Hay alguna sanción por no tener las facturas de respaldo?,si_no
1219,159,¿Me pueden sancionar por no guardar las facturas de respaldo de mis operaciones?,si_no
1221,159,¿Sancionan por no guardar los comprobantes de las operaciones que realicé?,si_no
1222,159,¿Podría ser motivo de multa el no tener los comprobantes de las operaciones?,si_no
1223,0,"Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?",si_no
1226,3,"Si se realiza la baja del Monotributo por cese de actividad, ¿se puede volver a adherir en cualquier momento?",si_no
1231,7,"De producirse la baja automática en el Monotributo, ¿se puede realizar la adhesión nuevamente?",si_no
1233,9,"Un monotributista que adquiere el carácter de responsable inscripto en el IVA, ¿puede computar el crédito de sus existencias al momento del cambio de su condición?",si_no
1234,10,¿Es posible realizar una baja retroactiva en el Monotributo?,si_no
1247,23,¿Existe una cantidad máxima de empleados por categoría?,si_no
1248,24,"A los efectos de determinar los alquileres devengados, ¿se debe tener en cuenta los gastos correspondientes a gas, luz, y teléfono?",si_no
1249,25,"Una persona que realiza una actividad independiente por la que reviste la condición de Monotributista y a su vez ejerce la dirección, administración o conducción de sociedades no comprendidas en el Régimen Simplificado o comprendidas y no adheridas al mismo, ¿Debe aportar al régimen de autónomos y simultáneamente las cotizaciones previsionales del Monotributo?",si_no
1250,26,"En caso de brindar servicios de carpintería que implica fabricar un bien mueble, pero no en serie. ¿Debe categorizarse como venta de cosa mueble?",si_no
1252,28,"Siendo monotributista, ¿puedo realizar importaciones?",si_no
1253,29,¿A los monotributistas se les aplica la alícuota diferencial del 27% de IVA en las facturas de servicios públicos?,si_no
1255,31,"Ante el cambio de condición de responsable inscripto a monotributista, ¿se deben prorratear las deducciones personales por cargas de familia a los efectos de generar la declaración jurada del Impuesto a las Ganancias?",si_no
1256,32,"Un comerciante responsable inscripto en IVA que está en condiciones de optar por el Monotributo, ¿debe reintegrar el crédito fiscal de las existencias de los bienes?",si_no
1259,35,¿Es personal el trámite de generación de CUIT?,si_no
1262,38,¿Las sociedades pueden adherirse al monotributo?,si_no
1264,40,Un sujeto adherido al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?,si_no
1283,59,¿Una persona humana puede ser monotributista si obtiene ingresos provenientes de la locación de inmuebles situados en el exterior?,si_no
1297,73,"Si transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿corresponde la inscripción en el Régimen General?",si_no
1305,81,Si modifica la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa ¿se considera recategorización?,si_no
1313,89,¿Se puede interponer un recurso contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?,si_no
1317,93,En caso de realizar importaciones ¿se puede adherir al Monotributo?,si_no
1318,94,¿Se pueden realizar exportaciones siendo monotributista?,si_no
1319,95,Un sujeto adherido al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?,si_no
1320,96,¿Se puede ser empleador siendo monotributista?,si_no
1321,97,¿Se puede realizar la adhesión al Monotributo en caso de llevarse a cabo una actividad por única vez? ¿Se debe cumplir un tiempo mínimo de permanencia antes de realizar la baja del mismo?,si_no
1322,98,"Una persona humana residente en el exterior que realiza una actividad en nuestro país, ¿puede inscribirse a través de su apoderado en nuestro país como monotributista?",si_no
1323,99,Si un ciudadano trabaja relación de dependencia ¿se puede adherir al monotributo por una actividad independiente?,si_no
1324,100,"Una persona humana adherida al Monotributo por una actividad, ¿puede realizar otra actividad bajo la condición de responsable inscripto?",si_no
1325,101,"En los casos de venta de automóviles usados a nombre propio por cuenta de terceros, ¿Se podrá optar por el Monotributo?",si_no
1326,102,"El propietario de una industria, ¿se puede adherir al Monotributo?",si_no
1327,103,"El asociado a una cooperativa de trabajo, ¿se puede adherir al monotributo?",si_no
1328,104,"El síndico de una sociedad, ¿se puede adherir al monotributo por dicha actividad?",si_no
1329,105,¿Se puede ser monotributista si se obtiene unicamente ingresos por cobro de derechos de autor?,si_no
1330,106,"En caso de arrendar 5 parcelas (las mismas tienen asignados números de partidas diferentes aunque se encuentran ubicadas en el mismo partido), a los fines de la exclusión en el Monotributo, ¿se consideran más de tres unidades de explotación?",si_no
1332,108,"Un monotributista que tiene un local y desea abrir otro en el que realice tres actividades, ¿Puede permanecer en el Monotributo?",si_no
1333,108,"Un monotributista que tiene un local y desea abrir otro en el que realice tres actividades, ¿Puede quedar excluido por exceder las tres actividades?",si_no
1335,110,"Un contribuyente que reviste la condición de responsable inscripto en IVA y está en condiciones de adherir por el Monotributo, ¿Puede optar por cambiar de régimen en cualquier momento?",si_no
1337,112,Un sujeto adherido al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?,si_no
1338,113,"Un propietario que cede un inmueble a precio no determinado, ¿puede adherirse al Monotributo por el valor locativo a que refiere el Impuesto a las Ganancias?",si_no
1350,125,"El pago de la obligación mensual realizado fuera de término, ¿genera intereses?",si_no
1354,129,"Respecto del componente previsional (jubilación y obra social), ¿se puede abonar solo uno de dichos conceptos y excluir del pago el otro?",si_no
1366,141,Si aplico los beneficios previsionales establecidos en la Ley 25.321 ¿puedo visualizar los mismos en el servicio CCMA?,si_no
1374,149,¿Estoy obligado a registrar mis operaciones?,si_no
